 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200809.15 | 2008/09/24 06:50 | 285 | 010 | 290 | 280 | 1475 | 0233 | 1362 | 1864
 C200809.16 | 2008/09/24 09:30 | 248 | 044 | 270 | 226 | 1416 | 0099 | 1221 | 1609
 C200809.17 | 2008/09/25 06:50 | 269 | 050 | 294 | 244 | 1967 | 0060 | 1864 | 1967
 C200809.18 | 2008/09/26 01:30 | 254 | 040 | 274 | 234 | 1475 | 0145 | 1416 | 1864
 C200810.01 | 2008/09/30 10:50 | 263 | 070 | 298 | 228 | 1864 | 0145 | 1539 | 1967 (dup. C200809.19)
 C200809.19 | 2008/09/30 10:50 | 263 | 070 | 298 | 228 | 1864 | 0145 | 1539 | 1967 (dup. C200810.01)
 C200810.02 | 2008/10/10 15:29 | 245 | 026 | 258 | 232 | 1539 | 0110 | 1362 | 1686
 C200810.03 | 2008/10/12 15:29 | 282 | 016 | 290 | 274 | 1475 | 0827 | 0256 | 1967
 C200810.04 | 2008/10/16 16:09 | 253 | 026 | 266 | 240 | 1690 | 0160 | 1475 | 1864
 C200810.05 | 2008/10/19 02:49 | 252 | 048 | 276 | 228 | 1916 | 0067 | 1770 | 1967
 C200810.06 | 2008/10/27 05:29 | 270 | 044 | 292 | 248 | 0354 | 0041 | 0260 | 0389
 C200810.07 | 2008/10/28 08:49 | 271 | 062 | 302 | 240 | 1864 | 0080 | 1770 | 1967
 C200810.08 | 2008/10/29 12:09 | 257 | 034 | 274 | 240 | 1916 | 0051 | 1864 | 1967
