 IDENTIFIER |    starttime     | pa  |  da | NoPA| SuPA|   v  |  dv  | minv | maxv
 C200808.12 | 2008/08/31 10:09 | 100 | 016 | 092 | 108 | 0350 | 0042 | 0300 | 0431
 C200809.02 | 2008/09/13 01:29 | 088 | 016 | 080 | 096 | 0244 | 0014 | 0225 | 0264
 C200809.03 | 2008/09/13 13:29 | 091 | 058 | 062 | 120 | 0304 | 0050 | 0202 | 0402
 C200809.04 | 2008/09/20 16:09 | 091 | 010 | 086 | 096 | 0274 | 0023 | 0231 | 0292
 C200809.05 | 2008/09/21 08:09 | 090 | 024 | 078 | 102 | 0289 | 0021 | 0242 | 0310
 C200809.06 | 2008/09/23 00:09 | 095 | 030 | 080 | 110 | 0328 | 0072 | 0245 | 0498
 C200809.07 | 2008/09/23 14:49 | 085 | 034 | 068 | 102 | 0292 | 0046 | 0245 | 0384
 C200809.08 | 2008/09/24 15:29 | 102 | 016 | 094 | 110 | 0269 | 0020 | 0233 | 0305
 C200810.01 | 2008/10/04 17:29 | 066 | 024 | 054 | 078 | 0327 | 0047 | 0262 | 0397
 C200810.02 | 2008/10/11 10:09 | 086 | 012 | 080 | 092 | 0347 | 0019 | 0334 | 0384
 C200810.03 | 2008/10/12 12:09 | 076 | 016 | 068 | 084 | 0334 | 0083 | 0227 | 0431
 C200810.04 | 2008/10/14 12:49 | 090 | 012 | 084 | 096 | 0343 | 0015 | 0327 | 0372
 C200811.01 | 2008/11/03 06:09 | 062 | 044 | 040 | 084 | 0421 | 0023 | 0380 | 0472
 C200811.02 | 2008/11/08 10:09 | 088 | 036 | 070 | 106 | 0253 | 0055 | 0214 | 0384
 C200811.03 | 2008/11/14 20:49 | 088 | 012 | 082 | 094 | 0270 | 0011 | 0247 | 0276
 C200811.04 | 2008/11/27 00:09 | 069 | 010 | 064 | 074 | 0286 | 0054 | 0236 | 0380
 C200812.02 | 2008/12/01 23:29 | 059 | 010 | 054 | 064 | 0271 | 0028 | 0234 | 0316
 C200812.01 | 2008/12/02 04:49 | 084 | 036 | 066 | 102 | 0258 | 0034 | 0205 | 0334
 C200812.03 | 2008/12/11 10:49 | 088 | 016 | 080 | 096 | 0254 | 0039 | 0182 | 0292
 C200812.04 | 2008/12/12 14:09 | 077 | 078 | 038 | 116 | 0475 | 0051 | 0327 | 0544
 C200812.05 | 2008/12/12 22:09 | 090 | 012 | 084 | 096 | 0258 | 0023 | 0234 | 0295
 C200812.06 | 2008/12/16 23:29 | 110 | 040 | 090 | 130 | 0262 | 0011 | 0237 | 0276
 C200812.07 | 2008/12/18 12:49 | 099 | 018 | 090 | 108 | 0356 | 0022 | 0330 | 0402
 C200812.08 | 2008/12/27 10:49 | 071 | 046 | 048 | 094 | 0460 | 0077 | 0278 | 0571
 C200812.09 | 2008/12/28 12:49 | 078 | 024 | 066 | 090 | 0372 | 0115 | 0209 | 0571
 C200812.10 | 2008/12/30 08:49 | 071 | 014 | 064 | 078 | 0244 | 0018 | 0236 | 0276
 C200901.01 | 2009/01/01 04:09 | 080 | 032 | 064 | 096 | 0324 | 0066 | 0189 | 0426
 C200901.02 | 2009/01/01 20:09 | 092 | 020 | 082 | 102 | 0334 | 0009 | 0313 | 0343
 C200901.03 | 2009/01/07 13:29 | 081 | 026 | 068 | 094 | 0354 | 0060 | 0244 | 0459
 C200901.04 | 2009/01/07 22:49 | 090 | 032 | 074 | 106 | 0313 | 0013 | 0287 | 0337
 C200901.05 | 2009/01/09 07:29 | 092 | 048 | 068 | 116 | 0330 | 0033 | 0266 | 0368
 C200901.06 | 2009/01/10 06:09 | 084 | 032 | 068 | 100 | 0466 | 0052 | 0411 | 0553
