date,time,cpa,width,lin_speed,quad_speed_init,quad_speed_final,quad_speed_20,accel,mpa,remarks
1996/11/15,01:31:07,76.0,33,217.0,145.0,288.0,407.0,6.3,75,Poor Event
1996/11/19,16:45:36,250.0,68,213.0,197.0,227.0,299.0,2.2,263,Poor Event
1996/11/24,17:52:18,268.0,77,594.0,387.0,804.0,684.0,31.1,288,Only C3
1996/11/25,00:40:05,261.0,63,258.0,266.0,250.0,239.0,-0.6,256,Poor Event
1996/11/26,06:00:06,268.0,72,313.0,198.0,428.0,563.0,13.2,290,Very Poor Event
1996/11/26,15:35:05,87.0,41,90.0,,,,,85,Very Poor Event; Only 2 points; Only C2
1996/11/26,21:35:41,270.0,78,548.0,305.0,781.0,954.0,38.1,283,
1996/11/27,21:28:19,271.0,39,379.0,246.0,495.0,562.0,11.1,277,
1996/11/28,11:02:05,277.0,27,294.0,209.0,373.0,503.0,9.6,276,
1996/11/28,16:50:06,267.0,101,984.0,817.0,1180.0,1121.0,27.5,267,
1996/11/29,01:40:06,261.0,10,300.0,248.0,350.0,483.0,7.6,267,
1996/11/30,21:50:05,267.0,78,477.0,345.0,609.0,549.0,8.5,270,
1996/12/02,02:39:05,285.0,10,431.0,,,,,280,Only 2 points
1996/12/02,15:35:05,,360,538.0,641.0,430.0,478.0,-8.8,253,
1996/12/02,21:45:56,95.0,38,293.0,261.0,324.0,423.0,4.7,95,Poor Event
1996/12/05,14:02:05,100.0,60,104.0,83.0,125.0,338.0,4.9,99,Very Poor Event; Only 3 points; Only C2
1996/12/05,21:48:06,102.0,48,141.0,33.0,248.0,560.0,14.9,104,Poor Event; Only 3 points; Only C3
1996/12/06,14:50:05,275.0,51,367.0,423.0,307.0,322.0,-3.6,274,
1996/12/07,02:30:07,83.0,44,197.0,160.0,237.0,262.0,1.8,90,
1996/12/07,09:30:05,260.0,9,286.0,402.0,173.0,0.0,-17.0,269,
1996/12/08,10:30:05,107.0,19,282.0,380.0,183.0,0.0,-12.6,99,
1996/12/08,18:30:08,87.0,64,422.0,426.0,419.0,416.0,-0.4,81,Only C3
1996/12/09,06:30:09,273.0,54,158.0,216.0,107.0,0.0,-7.9,279,Poor Event; Only 3 points
1996/12/09,20:11:10,272.0,52,37.0,31.0,42.0,83.0,0.3,280,Not LE; Only C2
1996/12/10,14:30:07,87.0,125,211.0,213.0,210.0,208.0,-0.1,86,Partial Halo
1996/12/12,14:30:05,94.0,46,206.0,139.0,266.0,362.0,5.5,81,Poor Event; Only 3 points
